SP,TT,UT,CML,RP,LP
1,32,-1,0,1,0
2,32,39,0,1,0
3,32,40,0,1,0
4,32,39,0,1,0
5,32,40,0,1,0
6,32,40,0,1,0
7,32,40,0,1,0
8,32,39,0,1,0
9,32,40,0,1,0
10,32,40,0,1,0
11,32,40,0,1,0
12,32,39,0,1,0
13,32,40,0,1,0
14,32,40,0,1,0
15,32,40,0,1,0
16,32,39,0,1,0
17,32,40,0,1,0
18,32,40,0,1,0
19,32,40,0,1,0
20,32,39,0,1,0
21,32,40,0,1,0
22,32,40,0,1,0
23,32,40,0,1,0
24,32,39,0,1,0
25,32,40,0,1,0
26,32,40,0,1,0
27,32,40,0,1,0
28,32,39,0,1,0
29,32,40,0,1,0
30,32,40,0,1,0
31,32,40,0,1,0
32,32,39,0,1,0
33,32,40,0,1,0
34,32,40,0,1,0
35,32,40,0,1,0
36,32,39,0,1,0
37,32,40,0,1,0
38,32,40,0,1,0
39,32,40,0,1,0
40,32,39,0,1,0
41,32,40,0,1,0
42,32,40,0,1,0
43,32,40,0,1,0
44,32,39,0,1,0
45,32,40,0,1,0
46,32,40,0,1,0
47,32,40,0,1,0
48,32,39,0,1,0
49,32,40,0,1,0
50,32,40,0,1,0
51,32,40,0,1,0
52,32,39,0,1,0
53,32,40,0,1,0
54,32,40,0,1,0
55,32,39,0,1,0
56,32,39,0,1,0
57,32,40,0,1,0
58,32,40,0,1,0
59,32,40,0,1,0
60,32,39,0,1,0
61,32,40,0,1,0
62,32,39,0,1,0
63,32,40,0,1,0
64,32,39,0,1,0
65,32,40,0,1,0
66,32,40,0,1,0
67,32,40,0,1,0
68,32,39,0,1,0
69,32,40,0,1,0
70,32,40,0,1,0
71,32,40,0,1,0
72,32,39,0,1,0
73,32,40,0,1,0
74,32,40,0,1,0
75,32,40,0,1,0
76,32,39,0,1,0
77,32,40,0,1,0
78,32,40,0,1,0
79,32,40,0,1,0
80,32,39,0,1,0
81,32,40,0,1,0
82,32,40,0,1,0
83,32,40,0,1,0
84,32,39,0,1,0
85,32,40,0,1,0
86,32,40,0,1,0
87,32,39,0,1,0
88,32,39,0,1,0
89,32,40,0,1,0
90,32,40,0,1,0
91,32,40,0,1,0
92,32,39,0,1,0
93,32,40,0,1,0
94,32,40,0,1,0
95,32,40,0,1,0
96,32,39,0,1,0
97,32,40,0,1,0
98,32,40,0,1,0
99,32,40,0,1,0
100,32,39,0,1,0
101,32,40,0,1,0
102,32,40,0,1,0
103,32,40,0,1,0
104,32,39,0,1,0
105,32,40,0,1,0
106,32,40,0,1,0
107,32,40,0,1,0
108,32,39,0,1,0
109,32,40,0,1,0
110,32,40,0,1,0
111,32,40,0,1,0
112,32,39,0,1,0
113,32,40,0,1,0
114,32,40,0,1,0
115,32,40,0,1,0
116,32,39,0,1,0
117,32,40,0,1,0
118,32,40,0,1,0
119,32,40,0,1,0
120,32,39,0,1,0
121,32,40,0,1,0
122,32,40,0,1,0
123,32,40,0,1,0
124,32,39,0,1,0
125,32,40,0,1,0
126,32,40,0,1,0
127,32,40,0,1,0
128,32,39,0,1,0
129,32,40,0,1,0
130,32,40,0,1,0
131,32,40,0,1,0
132,32,39,0,1,0
133,32,40,0,1,0
134,32,40,0,1,0
135,32,40,0,1,0
136,32,40,0,1,0
137,32,39,0,1,0
138,32,40,0,1,0
139,32,40,0,1,0
140,32,39,0,1,0
141,32,40,0,1,0
142,32,40,0,1,0
143,32,40,0,1,0
144,32,39,0,1,0
145,32,40,0,1,0
146,32,40,0,1,0
147,32,40,0,1,0
148,-1,-1,1,0,0
149,-1,-1,2,0,1
150,-1,-1,3,0,2
151,-1,-1,4,0,2
152,-1,-1,5,0,3
153,32,239,0,1,3
154,32,40,0,1,3
155,32,40,0,1,3
156,32,39,0,1,3
157,32,40,0,1,3
158,32,40,0,1,3
159,32,40,0,1,3
160,32,39,0,1,3
161,32,40,0,1,3
162,32,39,0,1,3
163,32,40,0,1,3
164,32,39,0,1,3
165,32,40,0,1,3
166,32,39,0,1,3
167,32,40,0,1,3
168,32,39,0,1,3
169,32,40,0,1,3
170,32,39,0,1,3
171,32,40,0,1,3
172,32,39,0,1,3
173,32,40,0,1,3
174,32,40,0,1,3
175,32,40,0,1,3
176,32,39,0,1,3
177,32,40,0,1,3
178,32,39,0,1,3
179,32,40,0,1,3
180,32,39,0,1,3
181,32,40,0,1,3
182,32,40,0,1,3
183,32,40,0,1,3
184,32,39,0,1,3
185,32,40,0,1,3
186,32,40,0,1,3
187,32,39,0,1,3
188,32,39,0,1,3
189,32,40,0,1,3
190,32,40,0,1,3
191,32,40,0,1,3
192,32,39,0,1,3
193,32,40,0,1,3
194,32,40,0,1,3
195,32,40,0,1,3
196,32,39,0,1,3
197,32,40,0,1,3
198,32,40,0,1,3
199,32,40,0,1,3
200,32,39,0,1,3
201,32,40,0,1,3
202,32,39,0,1,3
203,32,40,0,1,3
204,32,39,0,1,3
205,32,40,0,1,3
206,32,40,0,1,3
207,32,40,0,1,3
208,32,39,0,1,3
209,32,40,0,1,3
210,32,40,0,1,3
211,32,40,0,1,3
212,32,39,0,1,3
213,32,40,0,1,3
